X [s],HR
0.231123,92
0.477396,92
0.723669,92
0.969942,92
1.216225,92
1.462492,92
1.708769,92
1.955042,92
2.44759,91
2.693868,91
2.940144,91
3.43269,91
3.678966,91
3.925243,90
4.171513,90
4.41779,90
4.664063,89
4.91034,89
5.156612,88
5.895438,88
6.141712,88
6.387987,88
6.634264,88
6.880537,88
7.12681,89
7.619361,89
8.11191,91
8.358187,91
8.604459,93
8.850731,93
9.097009,93
9.343281,95
9.589558,95
9.83583,97
10.328379,97
10.820931,99
11.067207,100
11.313481,100
11.80603,100
12.298579,101
13.037402,101
13.283674,101
13.529951,100
13.776228,100
14.268774,99
14.515051,99
14.761325,99
15.253872,99
15.500153,98
15.992699,98
16.238971,98
16.48525,98
16.731523,98
16.977794,98
17.224076,99
17.716621,99
17.962894,99
18.455442,99
18.70172,99
18.947993,100
19.194269,100
19.440542,100
19.686815,100
19.933098,100
20.179366,100
20.425642,100
20.671915,101
20.918196,101
21.41074,101
21.90329,100
22.149562,100
22.642116,101
22.888386,101
23.134663,101
23.380937,101
23.627216,102
23.873485,102
24.119762,103
24.366035,103
24.612311,104
24.858583,104
25.10486,104
25.597409,104
25.843682,105
26.089956,105
26.336237,105
26.582507,105
26.828782,105
27.321332,105
27.567605,106
28.060156,106
28.306432,106
28.552703,106
28.798979,106
29.045251,106
29.291526,106
29.537803,106
30.030354,106
30.276626,106
30.522902,105
30.769178,105
31.754274,103
32.246822,102
32.739373,102
33.231923,102
33.724472,102
33.970744,103
34.217026,103
34.463294,103
34.709571,103
34.955843,104
35.202125,104
35.448393,104
35.694666,104
35.940944,104
36.187219,105
36.433493,105
36.679765,105
36.926048,105
37.172314,105
37.418592,105
37.664864,105
37.911144,106
38.157414,106
38.40369,106
38.649964,106
38.896236,106
39.142514,106
39.388787,106
39.635067,106
39.881335,106
40.127612,106
40.866434,106
41.358984,106
41.851533,106
42.097807,106
42.344088,106
42.590357,106
42.836633,106
43.082907,106
43.329186,106
43.821733,106
44.068008,106
44.314281,106
44.560554,106
45.053108,106
45.299376,106
45.545654,106
45.791927,106
46.038203,106
46.284476,106
46.530752,106
46.777028,106
47.269574,105
47.515851,105
47.762127,105
48.008397,105
48.254675,105
48.747225,105
48.993497,105
49.239773,105
49.48605,105
49.732323,105
49.978594,105
50.224872,105
50.471149,105
50.717421,105
50.963694,106
51.209967,106
51.702518,106
51.948795,106
52.195072,106
52.441343,106
52.687616,107
52.933893,107
53.180168,107
53.426442,107
53.672714,107
53.918996,107
54.904091,107
55.150364,106
55.396637,106
55.642914,106
55.889186,106
56.135463,105
56.381735,105
56.628016,105
56.874285,105
57.120561,105
57.366835,105
57.613111,105
57.859385,105
58.105658,105
58.351934,105
58.598207,105
58.844483,105
59.337036,105
59.583305,105
59.829582,105
