X [s],R BICEPS BRACHII: EMG 1 [V],L BICEPS BRACHII: EMG 2 [V]
0,-0.0176242,0.0132601
0.0004655,-0.0162814,0.0152743
0.000931,-0.0154421,0.0159457
0.0013966,-0.0162814,0.0146029
0.0018621,-0.0162814,0.0125887
0.0023276,-0.01561,0.0125887
0.0027931,-0.0166171,0.0139315
0.0032586,-0.0169528,0.0139315
0.0037241,-0.0166171,0.0129244
0.0041897,-0.0172885,0.0125887
0.0046552,-0.0174563,0.0112459
0.0051207,-0.0162814,0.0119173
0.0055862,-0.0152743,0.0137636
0.0060517,-0.0164492,0.0132601
0.0065172,-0.0172885,0.0125887
0.0069828,-0.0162814,0.0132601
0.0074483,-0.014435,0.0139315
0.0079138,-0.0142672,0.0130922
0.0083793,-0.0142672,0.0132601
0.0088448,-0.0146029,0.0146029
0.0093103,-0.0157778,0.0146029
0.0097759,-0.01561,0.0142672
0.0102414,-0.0149386,0.0146029
0.0107069,-0.0154421,0.0149386
0.0111724,-0.0157778,0.0166171
0.0116379,-0.0162814,0.0166171
0.0121034,-0.0166171,0.0166171
0.012569,-0.0169528,0.0146029
0.0130345,-0.0166171,0.0125887
0.0135,-0.0162814,0.0119173
0.0139655,-0.0176242,0.0125887
0.014431,-0.0181277,0.012253
0.0148966,-0.0162814,0.0119173
0.0153621,-0.01561,0.0132601
0.0158276,-0.0166171,0.0146029
0.0162931,-0.0166171,0.0146029
0.0167586,-0.0151064,0.0146029
0.0172241,-0.0140993,0.014435
0.0176897,-0.0149386,0.0146029
0.0181552,-0.0166171,0.0132601
0.0186207,-0.0171206,0.0129244
0.0190862,-0.0166171,0.0135958
0.0195517,-0.0161135,0.01561
0.0200172,-0.01561,0.0169528
0.0204828,-0.0151064,0.0159457
0.0209483,-0.0152743,0.0139315
0.0214138,-0.0152743,0.0142672
0.0218793,-0.0142672,0.0169528
0.0223448,-0.0129244,0.0182956
0.0228103,-0.0135958,0.0169528
0.0232759,-0.0154421,0.0152743
0.0237414,-0.0157778,0.0149386
0.0242069,-0.0159457,0.0146029
0.0246724,-0.01561,0.0166171
0.0251379,-0.0159457,0.0186313
0.0256034,-0.0166171,0.0182956
0.026069,-0.0176242,0.0172885
0.0265345,-0.0182956,0.0172885
0.027,-0.0171206,0.0179599
0.0274655,-0.01561,0.0176242
0.027931,-0.0169528,0.0159457
0.0283966,-0.0187991,0.0159457
0.0288621,-0.0193027,0.0159457
0.0293276,-0.0182956,0.0139315
0.0297931,-0.0169528,0.0139315
0.0302586,-0.0174563,0.0152743
0.0307241,-0.0194705,0.0151064
0.0311897,-0.0186313,0.0142672
0.0316552,-0.0176242,0.0139315
0.0321207,-0.017792,0.0146029
0.0325862,-0.0176242,0.0146029
0.0330517,-0.0166171,0.0132601
0.0335172,-0.0149386,0.0132601
0.0339828,-0.0159457,0.0142672
0.0344483,-0.0157778,0.0149386
0.0349138,-0.0162814,0.0137636
0.0353793,-0.0164492,0.0129244
0.0358448,-0.0171206,0.0125887
0.0363103,-0.0182956,0.0135958
0.0367759,-0.0182956,0.0132601
0.0372414,-0.0176242,0.0129244
0.0377069,-0.0172885,0.0125887
0.0381724,-0.0172885,0.0132601
0.0386379,-0.0176242,0.0149386
0.0391034,-0.0171206,0.01561
0.039569,-0.0169528,0.0139315
0.0400345,-0.0164492,0.0129244
0.0405,-0.0149386,0.0139315
0.0409655,-0.0151064,0.0159457
0.041431,-0.0171206,0.0164492
0.0418966,-0.0186313,0.0159457
0.0423621,-0.0184634,0.0159457
0.0428276,-0.0172885,0.0176242
0.0432931,-0.0152743,0.018967
0.0437586,-0.0149386,0.0179599
0.0442241,-0.0166171,0.0159457
0.0446897,-0.0182956,0.0146029
0.0451552,-0.0186313,0.0149386
0.0456207,-0.0186313,0.0146029
0.0460862,-0.0169528,0.0139315
0.0465517,-0.0159457,0.0142672
0.0470172,-0.0166171,0.0146029
0.0474828,-0.0166171,0.0151064
0.0479483,-0.0149386,0.0159457
0.0484138,-0.0151064,0.0172885
0.0488793,-0.0159457,0.0186313
0.0493448,-0.0167849,0.0172885
0.0498103,-0.0169528,0.0146029
0.0502759,-0.0182956,0.014435
0.0507414,-0.018967,0.0159457
0.0512069,-0.0193027,0.0159457
0.0516724,-0.0184634,0.014435
0.0521379,-0.0184634,0.0119173
0.0526034,-0.018967,0.0129244
0.053069,-0.0203098,0.0142672
0.0535345,-0.0203098,0.0142672
0.054,-0.0201419,0.0125887
0.0544655,-0.0193027,0.0112459
0.054931,-0.0182956,0.0112459
0.0553966,-0.0176242,0.0129244
0.0558621,-0.0166171,0.0146029
0.0563276,-0.0164492,0.0139315
0.0567931,-0.0159457,0.0119173
0.0572586,-0.0151064,0.0109102
0.0577241,-0.0162814,0.0115816
0.0581897,-0.0159457,0.0124208
0.0586552,-0.0154421,0.0129244
0.0591207,-0.0152743,0.0132601
0.0595862,-0.0159457,0.0132601
0.0600517,-0.0169528,0.0132601
0.0605172,-0.0162814,0.0119173
0.0609828,-0.0152743,0.0115816
0.0614483,-0.0157778,0.0124208
0.0619138,-0.0162814,0.0129244
0.0623793,-0.0151064,0.0129244
0.0628448,-0.0142672,0.0139315
0.0633103,-0.0149386,0.0146029
0.0637759,-0.0162814,0.0139315
0.0642414,-0.0171206,0.0130922
0.0647069,-0.0169528,0.0132601
0.0651724,-0.01561,0.0132601
0.0656379,-0.01561,0.0125887
0.0661034,-0.0162814,0.0125887
0.066569,-0.0159457,0.0139315
0.0670345,-0.0161135,0.0146029
0.0675,-0.0164492,0.0132601
0.0679655,-0.0169528,0.0117494
0.068431,-0.0182956,0.0112459
0.0688966,-0.0176242,0.0130922
0.0693621,-0.01561,0.0152743
0.0698276,-0.0139315,0.0159457
0.0702931,-0.0149386,0.0152743
0.0707586,-0.01561,0.0159457
0.0712241,-0.01561,0.0164492
0.0716897,-0.01561,0.0172885
0.0721552,-0.0169528,0.0169528
0.0726207,-0.0166171,0.0162814
0.0730862,-0.0171206,0.0166171
0.0735517,-0.0182956,0.0172885
0.0740172,-0.018967,0.0179599
0.0744828,-0.0176242,0.0176242
0.0749483,-0.0162814,0.0179599
0.0754138,-0.0169528,0.0166171
0.0758793,-0.0176242,0.014435
0.0763448,-0.0182956,0.0127565
0.0768103,-0.0196384,0.0139315
0.0772759,-0.0199741,0.0159457
0.0777414,-0.0181277,0.0169528
0.0782069,-0.0176242,0.0164492
0.0786724,-0.0171206,0.0159457
0.0791379,-0.0162814,0.0166171
0.0796034,-0.0166171,0.0162814
0.080069,-0.0172885,0.0152743
0.0805345,-0.0176242,0.0139315
0.081,-0.0172885,0.0132601
0.0814655,-0.0179599,0.0132601
0.081931,-0.0179599,0.0139315
0.0823966,-0.0166171,0.0142672
0.0828621,-0.0164492,0.0146029
0.0833276,-0.0182956,0.0146029
0.0837931,-0.0182956,0.0142672
0.0842586,-0.0166171,0.0149386
0.0847241,-0.0166171,0.0151064
0.0851897,-0.0176242,0.0149386
0.0856552,-0.0179599,0.0139315
0.0861207,-0.0167849,0.0142672
0.0865862,-0.0169528,0.0146029
0.0870517,-0.0174563,0.0142672
0.0875172,-0.0159457,0.0142672
0.0879828,-0.0146029,0.014435
0.0884483,-0.0152743,0.01561
0.0889138,-0.0154421,0.0152743
0.0893793,-0.0151064,0.0140993
0.0898448,-0.0159457,0.0142672
0.0903103,-0.0164492,0.014435
0.0907759,-0.0169528,0.0139315
0.0912414,-0.0164492,0.0142672
0.0917069,-0.01561,0.0152743
0.0921724,-0.0162814,0.01561
0.0926379,-0.0169528,0.0152743
0.0931034,-0.0174563,0.0152743
0.093569,-0.017792,0.01561
0.0940345,-0.0174563,0.0152743
0.0945,-0.0169528,0.0146029
0.0949655,-0.0179599,0.0132601
0.095431,-0.017792,0.0132601
0.0958966,-0.0162814,0.0139315
0.0963621,-0.0151064,0.0129244
0.0968276,-0.0152743,0.0125887
0.0972931,-0.0154421,0.0139315
0.0977586,-0.0159457,0.0149386
0.0982241,-0.0166171,0.0146029
0.0986897,-0.0171206,0.0152743
0.0991552,-0.0167849,0.0146029
0.0996207,-0.0159457,0.0139315
0.1000862,-0.01561,0.0139315
0.1005517,-0.0151064,0.0142672
0.1010172,-0.0157778,0.0166171
0.1014828,-0.0176242,0.0172885
0.1019483,-0.0182956,0.0166171
0.1024138,-0.0179599,0.0159457
0.1028793,-0.0162814,0.01561
0.1033448,-0.0152743,0.0139315
0.1038103,-0.01561,0.0125887
0.1042759,-0.0171206,0.0124208
0.1047414,-0.0182956,0.0129244
0.1052069,-0.0176242,0.014435
0.1056724,-0.0159457,0.0152743
0.1061379,-0.0162814,0.01561
0.1066034,-0.0182956,0.01561
0.107069,-0.0191348,0.0146029
0.1075345,-0.0196384,0.0140993
0.108,-0.0191348,0.0139315
0.1084655,-0.0184634,0.0135958
0.108931,-0.0184634,0.0130922
0.1093966,-0.0179599,0.0129244
0.1098621,-0.0176242,0.0142672
0.1103276,-0.0176242,0.0157778
0.1107931,-0.0169528,0.0152743
0.1112586,-0.0159457,0.0135958
0.1117241,-0.0161135,0.0132601
0.1121897,-0.0166171,0.0129244
0.1126552,-0.0166171,0.0105745
0.1131207,-0.01561,0.0112459
0.1135862,-0.01561,0.0119173
0.1140517,-0.0152743,0.0117494
0.1145172,-0.01561,0.0112459
0.1149828,-0.0151064,0.0112459
0.1154483,-0.01561,0.0119173
0.1159138,-0.0162814,0.0132601
0.1163793,-0.0162814,0.0149386
0.1168448,-0.0151064,0.0152743
0.1173103,-0.01561,0.0146029
0.1177759,-0.0157778,0.0152743
0.1182414,-0.01561,0.01561
0.1187069,-0.0162814,0.0132601
0.1191724,-0.0164492,0.0105745
0.1196379,-0.0159457,0.0119173
0.1201034,-0.0154421,0.0152743
0.120569,-0.0157778,0.01561
0.1210345,-0.0169528,0.0132601
0.1215,-0.0172885,0.0132601
0.1219655,-0.0176242,0.0146029
0.122431,-0.0171206,0.0169528
0.1228966,-0.0149386,0.0176242
0.1233621,-0.0151064,0.0159457
0.1238276,-0.0162814,0.0146029
0.1242931,-0.0162814,0.0146029
0.1247586,-0.0161135,0.0159457
0.1252241,-0.0162814,0.01561
0.1256897,-0.0169528,0.0149386
0.1261552,-0.0176242,0.0142672
0.1266207,-0.0176242,0.014435
0.1270862,-0.0179599,0.0142672
0.1275517,-0.018967,0.0142672
0.1280172,-0.0182956,0.0142672
0.1284828,-0.0162814,0.0146029
0.1289483,-0.0146029,0.0146029
0.1294138,-0.0142672,0.0146029
0.1298793,-0.0146029,0.0132601
0.1303448,-0.01561,0.0125887
0.1308103,-0.0162814,0.0124208
0.1312759,-0.0164492,0.0142672
0.1317414,-0.0164492,0.0159457
0.1322069,-0.0171206,0.0169528
0.1326724,-0.0169528,0.0166171
0.1331379,-0.0159457,0.01561
0.1336034,-0.0152743,0.0142672
0.134069,-0.0164492,0.0130922
0.1345345,-0.0181277,0.0139315
0.135,-0.018967,0.0146029
0.1354655,-0.0181277,0.0142672
0.135931,-0.017792,0.0132601
0.1363966,-0.0171206,0.0132601
0.1368621,-0.0154421,0.0152743
0.1373276,-0.0152743,0.0157778
0.1377931,-0.0159457,0.0164492
0.1382586,-0.0167849,0.0164492
0.1387241,-0.01561,0.0152743
0.1391897,-0.0162814,0.01561
0.1396552,-0.0186313,0.0157778
0.1401207,-0.018967,0.0152743
0.1405862,-0.0176242,0.0146029
0.1410517,-0.0166171,0.0139315
0.1415172,-0.0167849,0.0132601
0.1419828,-0.0169528,0.0139315
0.1424483,-0.0169528,0.0146029
0.1429138,-0.0176242,0.0139315
0.1433793,-0.0186313,0.014435
0.1438448,-0.0186313,0.0146029
0.1443103,-0.0167849,0.014435
0.1447759,-0.0152743,0.0142672
0.1452414,-0.0157778,0.0146029
0.1457069,-0.0169528,0.0152743
0.1461724,-0.017792,0.0162814
0.1466379,-0.0179599,0.0159457
0.1471034,-0.017792,0.0140993
0.147569,-0.0169528,0.0119173
0.1480345,-0.01561,0.0119173
0.1485,-0.0152743,0.0132601
0.1489655,-0.0162814,0.0139315
0.149431,-0.0166171,0.0146029
0.1498966,-0.0172885,0.0152743
0.1503621,-0.0176242,0.0164492
0.1508276,-0.0161135,0.0166171
0.1512931,-0.0164492,0.0152743
0.1517586,-0.0172885,0.0146029
0.1522241,-0.0167849,0.01561
0.1526897,-0.0159457,0.0162814
0.1531552,-0.0161135,0.01561
0.1536207,-0.0164492,0.0149386
0.1540862,-0.0162814,0.0151064
0.1545517,-0.0159457,0.014435
0.1550172,-0.0161135,0.0139315
0.1554828,-0.01561,0.0151064
0.1559483,-0.0152743,0.0166171
0.1564138,-0.0151064,0.0159457
0.1568793,-0.0152743,0.01561
0.1573448,-0.0162814,0.0146029
0.1578103,-0.0174563,0.0146029
0.1582759,-0.0172885,0.0139315
0.1587414,-0.0172885,0.0139315
0.1592069,-0.018967,0.0132601
0.1596724,-0.018967,0.0142672
0.1601379,-0.0182956,0.01561
0.1606034,-0.0169528,0.0159457
0.161069,-0.0164492,0.0157778
0.1615345,-0.0161135,0.0159457
0.162,-0.0164492,0.0166171
0.1624655,-0.0162814,0.0164492
0.162931,-0.0162814,0.0159457
0.1633966,-0.0154421,0.0166171
0.1638621,-0.0154421,0.0164492
0.1643276,-0.0159457,0.0154421
0.1647931,-0.0162814,0.0139315
0.1652586,-0.0166171,0.0135958
0.1657241,-0.017792,0.0132601
0.1661897,-0.0179599,0.0142672
0.1666552,-0.0179599,0.0139315
0.1671207,-0.0169528,0.0142672
0.1675862,-0.0166171,0.0146029
0.1680517,-0.0166171,0.014435
0.1685172,-0.0169528,0.0135958
0.1689828,-0.0166171,0.0137636
0.1694483,-0.0164492,0.0129244
0.1699138,-0.0162814,0.0117494
0.1703793,-0.01561,0.0119173
0.1708448,-0.0162814,0.012253
0.1713103,-0.0169528,0.0125887
0.1717759,-0.0159457,0.0125887
0.1722414,-0.0154421,0.0125887
0.1727069,-0.01561,0.0139315
0.1731724,-0.0162814,0.01561
0.1736379,-0.0172885,0.0152743
0.1741034,-0.0179599,0.0146029
0.174569,-0.0182956,0.0137636
0.1750345,-0.017792,0.0139315
0.1755,-0.0176242,0.01561
0.1759655,-0.0171206,0.0166171
0.176431,-0.0166171,0.0159457
0.1768966,-0.0162814,0.0159457
0.1773621,-0.0162814,0.0166171
0.1778276,-0.0162814,0.0167849
0.1782931,-0.0169528,0.0171206
0.1787586,-0.0179599,0.0172885
0.1792241,-0.0184634,0.0169528
0.1796897,-0.0179599,0.0152743
0.1801552,-0.0176242,0.0152743
0.1806207,-0.0166171,0.0159457
0.1810862,-0.0164492,0.0176242
0.1815517,-0.0166171,0.0186313
0.1820172,-0.0162814,0.0164492
0.1824828,-0.0166171,0.0142672
0.1829483,-0.0166171,0.0129244
0.1834138,-0.01561,0.0109102
0.1838793,-0.0151064,0.0109102
0.1843448,-0.0159457,0.0129244
0.1848103,-0.0172885,0.0132601
0.1852759,-0.0179599,0.0135958
0.1857414,-0.0182956,0.0146029
0.1862069,-0.0174563,0.0139315
0.1866724,-0.0162814,0.0119173
0.1871379,-0.0164492,0.0112459
0.1876034,-0.0162814,0.0125887
0.188069,-0.0152743,0.0139315
0.1885345,-0.0147707,0.0152743
0.189,-0.0149386,0.0142672
0.1894655,-0.0157778,0.0139315
0.189931,-0.0166171,0.0146029
0.1903966,-0.0162814,0.0152743
0.1908621,-0.0172885,0.0149386
0.1913276,-0.017792,0.0135958
0.1917931,-0.0181277,0.0119173
0.1922586,-0.0172885,0.0105745
0.1927241,-0.0172885,0.0112459
0.1931897,-0.0169528,0.0119173
0.1936552,-0.0159457,0.0112459
0.1941207,-0.0147707,0.0105745
0.1945862,-0.0149386,0.0119173
0.1950517,-0.0162814,0.0132601
0.1955172,-0.0169528,0.0146029
0.1959828,-0.0171206,0.0151064
0.1964483,-0.0176242,0.0146029
0.1969138,-0.0181277,0.0135958
0.1973793,-0.0182956,0.0132601
0.1978448,-0.017792,0.0146029
0.1983103,-0.0176242,0.0166171
0.1987759,-0.018967,0.0159457
0.1992414,-0.0181277,0.014435
0.1997069,-0.0171206,0.0139315
0.2001724,-0.0172885,0.0137636
0.2006379,-0.0182956,0.0139315
0.2011034,-0.0179599,0.0162814
0.201569,-0.0169528,0.0172885
0.2020345,-0.0166171,0.0159457
0.2025,-0.0162814,0.0137636
0.2029655,-0.0169528,0.0146029
0.203431,-0.0176242,0.0159457
0.2038966,-0.0169528,0.0152743
0.2043621,-0.0161135,0.0139315
0.2048276,-0.0162814,0.0139315
0.2052931,-0.0172885,0.0142672
0.2057586,-0.0172885,0.0142672
0.2062241,-0.0166171,0.0132601
0.2066897,-0.01561,0.0125887
0.2071552,-0.0152743,0.0125887
0.2076207,-0.0152743,0.0132601
0.2080862,-0.0159457,0.0129244
0.2085517,-0.01561,0.0130922
0.2090172,-0.0149386,0.0135958
0.2094828,-0.0162814,0.0137636
0.2099483,-0.0164492,0.0142672
0.2104138,-0.0159457,0.0152743
0.2108793,-0.0172885,0.0149386
0.2113448,-0.0186313,0.0139315
0.2118103,-0.0184634,0.0129244
0.2122759,-0.0172885,0.0132601
0.2127414,-0.0172885,0.0142672
0.2132069,-0.0176242,0.0139315
0.2136724,-0.0171206,0.0119173
0.2141379,-0.0166171,0.011078
0.2146034,-0.0166171,0.0119173
0.215069,-0.0169528,0.0142672
0.2155345,-0.0174563,0.0159457
0.216,-0.017792,0.0166171
0.2164655,-0.0169528,0.0166171
0.216931,-0.0162814,0.0166171
0.2173966,-0.01561,0.0164492
0.2178621,-0.0152743,0.0166171
0.2183276,-0.0162814,0.0166171
0.2187931,-0.0179599,0.0171206
0.2192586,-0.0187991,0.0172885
0.2197241,-0.0182956,0.0152743
0.2201897,-0.0169528,0.0142672
0.2206552,-0.0171206,0.014435
0.2211207,-0.017792,0.0140993
0.2215862,-0.0193027,0.0146029
0.2220517,-0.0199741,0.0149386
0.2225172,-0.0196384,0.0142672
0.2229828,-0.0194705,0.0132601
0.2234483,-0.0182956,0.0139315
0.2239138,-0.0169528,0.014435
0.2243793,-0.01561,0.0135958
0.2248448,-0.0149386,0.0129244
0.2253103,-0.0146029,0.0132601
0.2257759,-0.01561,0.0151064
0.2262414,-0.0169528,0.01561
0.2267069,-0.0176242,0.0146029
0.2271724,-0.0169528,0.0151064
0.2276379,-0.0166171,0.0159457
0.2281034,-0.0162814,0.0166171
0.228569,-0.01561,0.0169528
0.2290345,-0.0147707,0.0166171
0.2295,-0.0139315,0.0176242
0.2299655,-0.0132601,0.0186313
0.230431,-0.0125887,0.0186313
0.2308966,-0.012253,0.0172885
0.2313621,-0.0149386,0.0152743
0.2318276,-0.0166171,0.0162814
0.2322931,-0.0161135,0.0164492
0.2327586,-0.0146029,0.0146029
0.2332241,-0.0146029,0.0132601
0.2336897,-0.0159457,0.0132601
0.2341552,-0.0159457,0.0149386
0.2346207,-0.0162814,0.0159457
0.2350862,-0.0162814,0.0152743
0.2355517,-0.0166171,0.01561
0.2360172,-0.0169528,0.0164492
0.2364828,-0.0169528,0.0166171
0.2369483,-0.0162814,0.0166171
0.2374138,-0.0154421,0.0167849
0.2378793,-0.0162814,0.01561
0.2383448,-0.0179599,0.0152743
0.2388103,-0.018967,0.0157778
0.2392759,-0.0172885,0.0149386
0.2397414,-0.0171206,0.0132601
0.2402069,-0.017792,0.0125887
0.2406724,-0.0179599,0.0132601
0.2411379,-0.0176242,0.0135958
0.2416034,-0.0169528,0.0125887
0.242069,-0.0176242,0.0119173
0.2425345,-0.0186313,0.0117494
0.243,-0.018967,0.0114137
0.2434655,-0.0182956,0.012253
0.243931,-0.0184634,0.0125887
0.2443966,-0.0193027,0.0115816
0.2448621,-0.0182956,0.0125887
0.2453276,-0.0172885,0.0149386
0.2457931,-0.0162814,0.0159457
0.2462586,-0.0159457,0.0159457
0.2467241,-0.0179599,0.0146029
0.2471897,-0.0191348,0.0130922
0.2476552,-0.018967,0.0129244
0.2481207,-0.0182956,0.0142672
0.2485862,-0.0176242,0.0152743
0.2490517,-0.0166171,0.01561
0.2495172,-0.0172885,0.0157778
0.2499828,-0.0193027,0.0152743
0.2504483,-0.0196384,0.0162814
0.2509138,-0.0182956,0.0159457
0.2513793,-0.0164492,0.0146029
0.2518448,-0.01561,0.0125887
0.2523103,-0.0151064,0.012253
0.2527759,-0.0152743,0.0124208
0.2532414,-0.0146029,0.0125887
0.2537069,-0.0154421,0.0129244
0.2541724,-0.0169528,0.0132601
0.2546379,-0.0176242,0.0125887
0.2551034,-0.0169528,0.0119173
0.255569,-0.0169528,0.0112459
0.2560345,-0.0169528,0.0105745
0.2565,-0.0162814,0.0115816
0.2569655,-0.0146029,0.0132601
0.257431,-0.0142672,0.0137636
0.2578966,-0.0152743,0.0137636
0.2583621,-0.0169528,0.0142672
0.2588276,-0.0179599,0.0149386
0.2592931,-0.0176242,0.01561
0.2597586,-0.0162814,0.0159457
0.2602241,-0.0154421,0.0142672
0.2606897,-0.0162814,0.0139315
